State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	0.87705	0.87858	0.88056	0.88077	0.88295	0.88275	0.88109	0.88275	0.88570	0.89079	0.89479	0.89726	0.90183	0.90433	0.90583	0.90733	0.90813	0.90910	0.91015	0.91072	0.91250
2	1.51621	1.51978	1.51264	1.52693	1.52407	1.53407	1.53407	1.55122	1.54051	1.53979	1.55837	1.55265	1.55265	1.53908	1.52836	1.51264	1.53336	1.52764	1.53193	1.50907	1.49406
3	4.33201	4.16268	4.23323	4.20501	4.23323	4.30378	4.26145	3.97924	3.52769	2.99148	2.32828	1.91906	1.94729	2.03195	2.13073	2.37061	2.06017	2.06017	2.13073	2.30006	2.48350
4	1.82183	1.81318	1.79154	1.77856	1.81101	1.82400	1.99925	1.97762	2.03387	2.02955	2.00791	2.06200	1.93218	2.00575	2.00358	1.99709	1.94083	1.85861	1.83914	1.87809	1.75259
5	1.57711	1.62815	1.68429	1.83230	1.83230	1.90376	2.05688	2.16916	2.08750	2.07219	1.98542	2.10792	2.27634	2.30186	2.24062	2.32228	2.26103	2.32228	2.41925	2.35290	2.43967
6	1.29126	1.26140	1.26887	1.24648	1.26140	1.40322	1.37336	1.42561	1.57489	1.85105	1.91076	1.84359	1.61221	1.62714	1.60474	1.52264	1.62714	1.63460	1.58235	1.57489	1.43307
7	3.41395	3.33034	3.30944	3.33034	3.16313	3.17009	3.19100	3.27460	3.22583	3.12829	3.13526	3.14919	3.12132	2.80780	2.75206	2.62665	2.71722	2.88444	2.81476	2.71026	2.81476
8	4.75803	4.81854	4.65969	4.47814	4.41006	4.13775	3.88812	3.69144	3.56285	3.22245	2.95769	2.70807	2.71563	2.78371	2.95013	3.04847	3.10142	3.01064	2.88961	2.83666	2.95769
9	2.36400	2.32996	2.31050	2.22781	2.18889	2.21808	2.15484	2.19862	2.10620	1.99433	1.99919	1.96028	1.79976	1.70247	1.69274	1.60032	1.57114	1.61005	1.70247	1.76571	1.79976
10	1.33370	1.31652	1.30246	1.29856	1.27669	1.25795	1.24234	1.19627	1.18611	1.15722	1.13692	1.11740	1.10100	1.07445	1.05493	1.04712	1.03385	1.02526	0.99949	1.00808	0.99715
