State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	0.75607	0.74137	0.72018	0.68756	0.64211	0.58024	0.50627	0.42767	0.37782	0.35342	0.34385	0.34503	0.35620	0.37019	0.39074	0.41846	0.45132	0.48290	0.51116	0.53542	0.55316
2	2.73522	2.74026	2.73774	2.74531	2.72513	2.64125	2.50818	2.26158	2.01878	1.81444	1.70344	1.66308	1.76399	1.95823	2.18023	2.35051	2.48484	2.54728	2.55295	2.54917	2.52457
3	3.98555	4.45884	5.13140	6.12779	7.39818	9.92652	12.45486	16.88878	21.34762	25.37054	28.03588	29.26891	27.74942	24.14997	19.65376	15.68066	11.94421	9.32869	7.68465	6.33952	5.28086
4	2.33758	2.69089	3.12823	3.92652	5.02464	6.23926	7.01273	7.09485	5.59567	6.70143	7.05665	3.34594	2.99645	3.06711	3.41087	3.79856	3.70307	3.18743	2.64696	2.21726	2.05111
5	2.04075	1.88307	2.02273	2.12184	2.27501	2.45070	2.50476	2.58134	2.48223	2.48674	2.26149	1.82451	1.34248	1.21634	1.14877	1.07218	1.12624	1.21634	1.09921	1.12174	1.18931
6	1.98300	2.10158	2.20040	2.37169	2.48369	2.89873	3.34672	3.79470	4.24928	3.39283	2.47710	2.37828	2.15428	1.81830	1.75241	1.58113	1.34396	1.21220	1.27808	1.33737	1.21220
7	4.04030	4.79056	6.08813	7.93302	11.48750	17.46494	27.52573	41.39313	56.55811	60.53692	58.57519	51.66301	39.66509	30.32381	22.66752	15.39866	9.91935	6.80764	5.06729	3.83737	2.93337
8	6.65671	7.84517	9.58780	11.64423	14.44179	17.15254	19.07544	19.32916	18.10732	15.31644	18.28091	39.71325	52.00512	58.42147	58.24788	52.01180	42.55086	33.69750	26.79376	21.23871	17.39958
9	4.80859	5.09625	5.40538	5.37532	4.64545	3.55063	2.52022	1.88909	1.52415	1.62290	2.06512	1.61431	1.92344	2.55027	4.64974	9.08481	13.61863	15.80825	16.02292	15.72239	14.56317
10	1.36948	1.25300	1.06346	0.89461	0.72299	0.58721	0.52656	0.50175	0.47694	0.46522	0.46867	0.47280	0.48039	0.51002	0.55137	0.68577	1.02487	1.58865	2.20688	2.72172	3.21107
