State (Emission order)	Genome %	CpGIsland.hg19.bed.gz	RefSeqExon.hg19.bed.gz	RefSeqGene.hg19.bed.gz	RefSeqTES.hg19.bed.gz	RefSeqTSS.hg19.bed.gz	RefSeqTSS2kb.hg19.bed.gz	laminB1lads.hg19.bed.gz
1	86.00776	0.20622	0.83610	0.91515	0.89481	0.34386	0.54022	1.09106
2	4.86594	2.51857	1.34390	0.85684	1.55853	1.70349	2.46759	0.77290
3	0.24639	62.97372	7.06231	1.11503	2.32852	28.03674	14.18418	0.60588
4	1.60688	5.27856	1.92337	1.16614	2.00812	7.05687	4.09402	0.53073
5	0.68120	2.23715	1.81141	1.27802	1.98563	2.26156	1.77477	0.36562
6	0.46582	1.66488	1.43699	1.43035	1.91096	2.47717	2.24467	0.32585
7	0.49902	51.74387	7.47348	1.25913	3.13558	58.57084	20.92308	0.35883
8	0.45963	32.95872	6.58192	2.20128	2.95800	18.28147	22.72838	0.15810
9	0.71477	1.56098	2.05721	2.26667	1.99940	2.06518	5.54079	0.12119
10	4.45258	0.36478	1.48010	2.28519	1.13626	0.46868	0.97774	0.14785
Base	100	0.6832847744	2.4487802305	42.0774209923	0.0009290009	0.0010525920	3.4107529258	36.8568410921
