State (Emission order)	H3K79me2	H4K20me1	H3K9me1	H3k27me3	H2az	H3K4me3	H3K9ac	H3K4me2	H3k27ac	H3K4me1
1	9.974290604283865E-4	0.0015149729192863591	0.001822085827009552	0.0031475840782967065	0.0017841185489873349	1.1442528253790482E-4	1.8920090949825816E-4	1.1171359648009067E-4	7.442332290034373E-5	2.2997888974471694E-4
2	3.628612278738442E-5	0.0037217278495429214	0.0018200884244324723	0.26264836703337596	0.003810122379280899	2.417560522559772E-4	2.101285507215429E-4	6.047090369428706E-4	4.725355924482314E-5	0.001446991100527232
3	0.009306811747422329	0.11123849894670033	0.07706667559796453	0.6579992527235712	0.6172283979996575	0.26903220770719316	0.042135060814847775	0.3296331990393999	0.011545711454300391	0.4624717947161867
4	0.009200683458018033	0.002651353209175233	0.006438764661124907	0.002787670056485172	0.2727411404738296	0.017707468788928024	0.023211904927098143	0.2751413303996396	0.022662129381088275	0.3100929852027246
5	0.020702209997128226	6.341172973128794E-4	0.003480873048862366	4.7756341113055123E-4	0.30268705301332255	8.601253487966323E-4	0.17106360942460447	0.39448205491302407	0.7938221147711062	0.6926882537612031
6	0.10526251596914502	0.001230378259426806	0.004832465330733118	8.17723954224632E-5	0.4429450739114554	0.3164183487240045	0.8915996978949268	0.9568286767304243	0.9740943779151393	0.8285613397883503
7	0.03696432252047485	1.6050224774609252E-4	8.530375105568471E-4	0.009855414645531742	0.8520021860365857	0.8949904626904731	0.6894091859976659	0.763406371275282	0.5581117144747961	0.4383779150502167
8	0.949934811912493	0.03835602213681647	0.0046820384828139446	8.059209363222586E-4	0.4594329012855963	0.9879801834645662	0.8956408064938125	0.8484435015605065	0.669861790398647	0.4521690505273624
9	0.8644027232152575	0.07538467406914842	0.0234834699865003	3.4153416881333023E-4	0.024179817556170276	0.11040411670237908	0.0932264270491511	0.5047796539834823	0.2875503040893673	0.5947907235094275
10	0.5672169990225698	0.05783718957079182	0.014056773100388744	2.340451122008956E-4	7.477415088394516E-4	1.6365392088721353E-4	0.0014118183752482223	0.005704244446116446	0.002187365250641527	0.009123580244114311
